Length: 153, Average Loss: 0.7119, Std: 0.1602, Max Loss: 17.4416, Max Std: 7.7941, Samples: 5957
Length: 154, Average Loss: 0.7715, Std: 0.2148, Max Loss: 19.9400, Max Std: 10.3741, Samples: 6290
Length: 155, Average Loss: 0.7242, Std: 0.1698, Max Loss: 18.0760, Max Std: 8.6795, Samples: 5214
Length: 156, Average Loss: 0.7668, Std: 0.2406, Max Loss: 19.6965, Max Std: 11.1927, Samples: 6287
Length: 157, Average Loss: 0.7214, Std: 0.1574, Max Loss: 18.1158, Max Std: 8.3227, Samples: 6258
Length: 158, Average Loss: 0.7088, Std: 0.1554, Max Loss: 17.7588, Max Std: 7.5682, Samples: 6589
Length: 159, Average Loss: 0.7243, Std: 0.1717, Max Loss: 18.5250, Max Std: 8.8756, Samples: 5487
Length: 160, Average Loss: 0.7456, Std: 0.2191, Max Loss: 18.7492, Max Std: 10.1650, Samples: 12232
Length: 161, Average Loss: 0.7196, Std: 0.1746, Max Loss: 18.2951, Max Std: 8.9359, Samples: 5453
Length: 162, Average Loss: 0.7382, Std: 0.1702, Max Loss: 18.7806, Max Std: 8.5048, Samples: 5651
Length: 163, Average Loss: 0.7194, Std: 0.1779, Max Loss: 18.2039, Max Std: 8.3888, Samples: 6458
Length: 164, Average Loss: 0.7568, Std: 0.2000, Max Loss: 19.5013, Max Std: 9.6507, Samples: 6152
Length: 165, Average Loss: 0.7403, Std: 0.1899, Max Loss: 19.3894, Max Std: 10.4792, Samples: 6984
Length: 166, Average Loss: 0.7457, Std: 0.1633, Max Loss: 19.1840, Max Std: 8.9034, Samples: 6082
Length: 167, Average Loss: 0.7321, Std: 0.1705, Max Loss: 19.0252, Max Std: 9.2204, Samples: 6755
Length: 168, Average Loss: 0.7454, Std: 0.1804, Max Loss: 19.0680, Max Std: 8.8817, Samples: 6889
Length: 169, Average Loss: 0.7765, Std: 0.2043, Max Loss: 20.4289, Max Std: 10.7033, Samples: 6458
Length: 170, Average Loss: 0.7514, Std: 0.1790, Max Loss: 19.2509, Max Std: 8.7271, Samples: 6455
Length: 171, Average Loss: 0.7478, Std: 0.1695, Max Loss: 19.3705, Max Std: 9.4699, Samples: 5153
Length: 172, Average Loss: 0.7666, Std: 0.2114, Max Loss: 20.3027, Max Std: 10.7702, Samples: 7254
Length: 173, Average Loss: 0.7439, Std: 0.1785, Max Loss: 19.7181, Max Std: 10.2341, Samples: 5049
Length: 174, Average Loss: 0.7452, Std: 0.1995, Max Loss: 19.2129, Max Std: 11.1024, Samples: 5451
Length: 175, Average Loss: 0.7531, Std: 0.1824, Max Loss: 19.8718, Max Std: 10.0480, Samples: 5787
Length: 176, Average Loss: 0.7483, Std: 0.2132, Max Loss: 19.8378, Max Std: 10.3180, Samples: 5686
Length: 177, Average Loss: 0.7895, Std: 0.2000, Max Loss: 21.4464, Max Std: 10.9427, Samples: 6556
Length: 178, Average Loss: 0.7371, Std: 0.1786, Max Loss: 19.9142, Max Std: 9.8437, Samples: 4920
Length: 179, Average Loss: 0.7427, Std: 0.1588, Max Loss: 19.6199, Max Std: 9.2016, Samples: 6687
Length: 180, Average Loss: 0.7685, Std: 0.2092, Max Loss: 19.5891, Max Std: 9.0013, Samples: 13308
Length: 181, Average Loss: 0.7402, Std: 0.1658, Max Loss: 19.4252, Max Std: 8.4668, Samples: 5181
Length: 182, Average Loss: 0.7778, Std: 0.1827, Max Loss: 20.7231, Max Std: 10.1269, Samples: 5653
Length: 183, Average Loss: 0.7670, Std: 0.1947, Max Loss: 21.3929, Max Std: 11.5090, Samples: 6256
Length: 184, Average Loss: 0.8012, Std: 0.2513, Max Loss: 22.0368, Max Std: 13.3477, Samples: 6053
Length: 185, Average Loss: 0.7440, Std: 0.1739, Max Loss: 19.7929, Max Std: 8.8945, Samples: 6955
Length: 186, Average Loss: 0.7652, Std: 0.1898, Max Loss: 21.1077, Max Std: 10.5669, Samples: 6822
Length: 187, Average Loss: 0.8101, Std: 0.2096, Max Loss: 22.5059, Max Std: 11.7546, Samples: 4686
Length: 188, Average Loss: 0.7724, Std: 0.2081, Max Loss: 21.3225, Max Std: 11.8091, Samples: 5385
Length: 189, Average Loss: 0.7988, Std: 0.2170, Max Loss: 22.7320, Max Std: 12.5221, Samples: 5615
Length: 190, Average Loss: 0.7875, Std: 0.1949, Max Loss: 21.3046, Max Std: 10.5559, Samples: 5386
Length: 191, Average Loss: 0.8083, Std: 0.2181, Max Loss: 22.9606, Max Std: 13.6121, Samples: 5585
Length: 192, Average Loss: 0.7886, Std: 0.2227, Max Loss: 22.6706, Max Std: 15.1246, Samples: 4884
Length: 193, Average Loss: 0.7603, Std: 0.1789, Max Loss: 20.2815, Max Std: 8.7795, Samples: 6827
Length: 194, Average Loss: 0.7887, Std: 0.2052, Max Loss: 21.5738, Max Std: 10.5681, Samples: 4951
Length: 195, Average Loss: 0.7677, Std: 0.2023, Max Loss: 21.0086, Max Std: 10.6062, Samples: 5821
